id_venta,isbn,titulo,autor,categoria,precio_eur,cantidad,edad_cliente,genero_cliente,fecha_venta,formato,canal_venta,tienda,metodo_pago,valoracion_cliente
V000020,978-1-68082-927-8,Náuseas,Jean-Paul Sartre,Clásico,12.51,2,32,Femenino,2023-06-04,Kindle,Online,Tienda Online,Tarjeta,5
V000021,978-8-27342-840-9,Stardust,Neil Gaiman,Fantasía,15.9,1,61,Masculino,2023-03-17,Tapa dura,Física,Librería Central Madrid,Efectivo,4
V000022,978-9-44671-926-0,El Hobbit,J.R.R. Tolkien,Fantasía,14.36,1,65,No binario,2023-06-19,Bolsillo,Física,Librería Gran Vía,Efectivo,2
V000023,978-3-30032-482-2,Los hombres que no amaban a las mujeres,Stieg Larsson,Thriller,19.69,1,61,No binario,2025-07-15,Tapa dura,Física,Librería Gran Vía,Tarjeta,5
V000024,978-5-85674-296-1,Harry Potter y la cámara secreta,J.K. Rowling,Fantasía Juvenil,15.9,2,15,Masculino,2025-01-18,Tapa dura,Física,Librería Valencia Centro,Efectivo,2
V000025,978-1-40512-987-1,Los juegos del hambre,Suzanne Collins,Fantasía Juvenil,12.66,1,13,Femenino,2025-11-13,Bolsillo,Online,Tienda Online,Efectivo,5
V000026,978-8-68800-243-6,El extranjero,Albert Camus,Clásico,12.9,1,26,No binario,2025-07-15,Tapa dura,Online,Tienda Online,Bizum,
V000027,978-6-86484-508-5,Ficciones,Jorge Luis Borges,Clásico,14.9,1,45,Prefiere no decir,2025-07-06,Tapa dura,Online,Tienda Online,PayPal,4
V000028,978-0-87110-667-3,Charlie y la fábrica de chocolate,Roald Dahl,Infantil,11.9,1,7,No binario,2024-11-29,Kindle,Online,Tienda Online,Efectivo,
V000029,978-3-85880-708-0,Persépolis,Marjane Satrapi,Cómic,17.49,1,44,No binario,2023-05-12,Bolsillo,Online,Tienda Online,Tarjeta,5
V000030,978-2-18981-709-1,Una breve historia del tiempo,Stephen Hawking,Ciencia,16.9,3,30,Femenino,2023-09-28,Bolsillo,Online,Tienda Online,Efectivo,4
V000031,978-3-97782-833-5,V de Vendetta,Alan Moore,Cómic,18.9,1,24,Prefiere no decir,2024-03-14,Tapa dura,Online,Tienda Online,Bizum,3
V000032,978-8-44973-887-5,Ángeles y demonios,Dan Brown,Thriller,17.75,1,45,Masculino,2023-08-16,Bolsillo,Online,Tienda Online,Transferencia,5
V000033,978-3-50857-508-5,Piense y hágase rico,Napoleon Hill,Finanzas,13.9,1,51,No binario,2025-10-08,Bolsillo,Online,Tienda Online,Bizum,5
V000034,978-7-17100-789-1,Carrie,Stephen King,Terror,14.9,1,52,Masculino,2023-05-21,Bolsillo,Online,Tienda Online,PayPal,4
V000035,978-6-38893-559-9,Dune,Frank Herbert,Ciencia Ficción,18.32,2,61,Masculino,2025-05-06,Kindle,Online,Tienda Online,PayPal,5
V000036,978-2-26828-775-7,Los cuatro acuerdos,Miguel Ruiz,Autoayuda,12.9,1,62,Femenino,2023-07-10,Bolsillo,Física,Librería Valencia Centro,Tarjeta,5
V000037,978-4-93748-619-9,Perdida,Gillian Flynn,Thriller,18.15,1,41,Masculino,2025-10-03,Bolsillo,Física,Librería Gran Vía,Tarjeta,5
V000038,978-6-45093-167-3,Paula,Isabel Allende,Biografía,15.9,1,19,Masculino,2023-08-04,Bolsillo,Física,Librería Sevilla Triana,Transferencia,
V000039,978-7-30289-294-4,Nada,Carmen Laforet,Clásico,13.9,3,48,Prefiere no decir,2024-02-25,Bolsillo,Online,Tienda Online,PayPal,4
V000040,978-8-79514-100-9,La chica en la telaraña,David Lagercrantz,Thriller,15.21,1,20,No binario,2025-05-23,Bolsillo,Física,Librería Gran Vía,Tarjeta,4
V000041,978-9-72493-614-8,El chef en casa,Jamie Oliver,Cocina,19.9,3,57,Femenino,2024-08-03,Bolsillo,Física,Librería Sevilla Triana,Bizum,5
V000042,978-8-68800-243-6,El extranjero,Albert Camus,Clásico,10.96,2,33,Masculino,2025-07-25,Tapa dura,Física,Librería Central Madrid,Transferencia,5
V000043,978-8-68800-243-6,El extranjero,Albert Camus,Clásico,10.32,2,49,Femenino,2024-03-14,Kindle,Online,Tienda Online,PayPal,5
V000044,978-3-54118-204-1,Juego de Tronos,George R.R. Martin,Fantasía,19.9,1,32,Prefiere no decir,2023-09-01,Bolsillo,Online,Tienda Online,Bizum,5
V000045,978-3-39256-242-1,El amor en los tiempos del cólera,Gabriel García Márquez,Ficción,19.25,2,70,Prefiere no decir,2023-10-18,Kindle,Online,Tienda Online,PayPal,4
V000046,978-5-19287-626-3,Coraline,Neil Gaiman,Fantasía Juvenil,15.29,1,21,Masculino,2023-08-14,Tapa dura,Online,Tienda Online,PayPal,4
V000047,978-4-99593-763-1,Crimen y castigo,Fiódor Dostoyevski,Clásico,12.9,1,59,Prefiere no decir,2025-07-01,Kindle,Online,Tienda Online,Tarjeta,4
V000048,978-2-58520-463-3,Sinsajo,Suzanne Collins,Fantasía Juvenil,14.9,1,14,No binario,2023-04-19,Bolsillo,Física,Librería Valencia Centro,Tarjeta,4
V000049,978-0-96673-333-4,Harry Potter y el prisionero de Azkaban,J.K. Rowling,Fantasía Juvenil,18.59,2,16,Prefiere no decir,2024-06-22,Tapa dura,Online,Tienda Online,PayPal,3
V000050,978-8-79514-100-9,La chica en la telaraña,David Lagercrantz,Thriller,17.9,1,53,No binario,2025-05-31,Tapa dura,Online,Tienda Online,PayPal,1
V000051,978-9-51245-317-7,La sombra del viento,Carlos Ruiz Zafón,Ficción,15.72,4,34,Femenino,2023-08-26,Tapa dura,Física,Librería Central Madrid,Transferencia,5
V000052,978-0-62772-845-5,Drácula,Bram Stoker,Terror,12.9,2,48,Masculino,2023-02-18,Bolsillo,Online,Tienda Online,Transferencia,2
V000053,978-1-16175-981-1,Pedro Páramo,Juan Rulfo,Clásico,10.32,1,73,No binario,2025-07-07,Bolsillo,Online,Tienda Online,Bizum,4
V000054,978-4-93886-804-8,Guerra y paz,León Tolstói,Clásico,26.14,1,55,Femenino,2024-02-11,Tapa dura,Física,Librería Valencia Centro,PayPal,4
V000055,978-9-93227-275-8,Los hermanos Karamázov,Fiódor Dostoyevski,Clásico,17.01,1,27,Femenino,2024-03-10,Tapa dura,Online,Tienda Online,Tarjeta,4
V000056,978-3-97782-833-5,V de Vendetta,Alan Moore,Cómic,16.06,1,75,Masculino,2025-08-27,Kindle,Online,Tienda Online,Bizum,2
V000057,978-3-50857-508-5,Piense y hágase rico,Napoleon Hill,Finanzas,15.29,2,49,Masculino,2023-05-01,Kindle,Online,Tienda Online,PayPal,5
V000058,978-8-79514-100-9,La chica en la telaraña,David Lagercrantz,Thriller,16.11,1,37,Masculino,2023-06-06,Bolsillo,Online,Tienda Online,Transferencia,5
V000059,978-7-19071-878-8,El poder del ahora,Eckhart Tolle,Autoayuda,14.9,1,26,Femenino,2025-12-19,Tapa dura,Online,Tienda Online,PayPal,
V000060,978-0-13905-195-3,Rebelión en la granja,George Orwell,Ficción,13.75,1,46,Femenino,2024-08-22,Kindle,Online,Tienda Online,Tarjeta,5
V000061,978-7-10425-839-4,El paciente silencioso,Alex Michaelides,Thriller,17.9,1,41,No binario,2023-01-07,Kindle,Online,Tienda Online,Tarjeta,5
V000062,978-8-21395-704-6,1984,George Orwell,Ciencia Ficción,15.65,1,52,No binario,2023-05-11,Tapa dura,Física,Librería Valencia Centro,Tarjeta,
V000063,978-4-10851-877-2,El nombre del viento,Patrick Rothfuss,Fantasía,18.61,3,52,No binario,2023-02-08,Tapa dura,Física,Librería Barcelona Gòtic,Tarjeta,4
V000064,978-3-76237-716-0,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,12.51,1,20,Femenino,2025-01-19,Kindle,Online,Tienda Online,Bizum,
V000065,978-2-63269-597-7,La chica de nieve,Javier Castillo,Thriller,19.84,2,63,Femenino,2025-01-03,Kindle,Online,Tienda Online,Bizum,3
V000066,978-7-19071-878-8,El poder del ahora,Eckhart Tolle,Autoayuda,12.66,1,62,No binario,2023-06-23,Kindle,Online,Tienda Online,Transferencia,3
V000067,978-3-76237-716-0,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,11.81,1,40,Masculino,2025-10-16,Bolsillo,Física,Librería Barcelona Gòtic,Bizum,4
V000068,978-2-46509-573-3,La peste,Albert Camus,Clásico,13.41,1,56,Masculino,2023-04-18,Tapa dura,Online,Tienda Online,Bizum,5
V000069,978-1-42591-296-3,Frankenstein,Mary Shelley,Terror,11.9,3,42,Masculino,2024-10-09,Kindle,Online,Tienda Online,Tarjeta,4
V000070,978-3-97782-833-5,V de Vendetta,Alan Moore,Cómic,20.79,1,55,No binario,2024-11-30,Kindle,Online,Tienda Online,Efectivo,2
V000071,978-6-10282-499-4,Patria,Fernando Aramburu,Ficción,16.91,1,60,Prefiere no decir,2025-02-11,Bolsillo,Física,Librería Barcelona Gòtic,Bizum,5
V000072,978-5-74042-119-1,Sapiens,Yuval Noah Harari,Ensayo,18.61,1,28,No binario,2025-11-26,Kindle,Online,Tienda Online,Transferencia,5
V000073,978-8-11504-796-1,El código Da Vinci,Dan Brown,Thriller,17.75,1,44,Masculino,2025-10-01,Bolsillo,Online,Tienda Online,Bizum,5
V000074,978-9-18326-494-6,Romancero gitano,Federico García Lorca,Poesía,11.99,1,25,Prefiere no decir,2025-05-16,Bolsillo,Física,Librería Central Madrid,Bizum,4
V000075,978-7-17100-789-1,Carrie,Stephen King,Terror,15.65,1,39,Prefiere no decir,2023-06-27,Bolsillo,Física,Librería Barcelona Gòtic,PayPal,4
V000076,978-5-50306-345-0,Homo Deus,Yuval Noah Harari,Ensayo,23.0,3,28,No binario,2024-11-21,Bolsillo,Física,Librería Central Madrid,Transferencia,
V000077,978-0-51104-158-0,Manual de cocina fácil,Karlos Arguiñano,Cocina,14.32,1,36,Femenino,2024-06-24,Kindle,Online,Tienda Online,Transferencia,
V000078,978-9-93227-275-8,Los hermanos Karamázov,Fiódor Dostoyevski,Clásico,18.9,1,52,No binario,2025-09-22,Tapa dura,Online,Tienda Online,Bizum,4
V000079,978-3-30032-482-2,Los hombres que no amaban a las mujeres,Stieg Larsson,Thriller,15.21,3,21,Masculino,2023-11-29,Bolsillo,Física,Librería Central Madrid,PayPal,2
V000080,978-7-19071-878-8,El poder del ahora,Eckhart Tolle,Autoayuda,14.9,1,36,Masculino,2025-08-13,Tapa dura,Online,Tienda Online,Efectivo,4
V000081,978-7-17100-789-1,Carrie,Stephen King,Terror,12.66,2,66,Masculino,2025-05-17,Bolsillo,Online,Tienda Online,Bizum,4
V000082,978-7-30289-294-4,Nada,Carmen Laforet,Clásico,14.6,1,23,No binario,2025-07-10,Kindle,Online,Tienda Online,Efectivo,3
V000083,978-5-85674-296-1,Harry Potter y la cámara secreta,J.K. Rowling,Fantasía Juvenil,15.9,3,14,No binario,2025-08-14,Kindle,Online,Tienda Online,Bizum,4
V000084,978-1-16630-767-8,Los pilares de la Tierra,Ken Follett,Histórica,23.0,1,53,Masculino,2025-04-29,Kindle,Online,Tienda Online,Transferencia,
V000085,978-7-77839-562-1,El principito,Antoine de Saint-Exupéry,Infantil,10.89,2,6,Masculino,2025-09-05,Kindle,Online,Tienda Online,PayPal,4
V000086,978-8-11504-796-1,El código Da Vinci,Dan Brown,Thriller,16.9,1,48,Prefiere no decir,2024-01-03,Tapa dura,Online,Tienda Online,Efectivo,5
V000087,978-4-10851-877-2,El nombre del viento,Patrick Rothfuss,Fantasía,17.52,3,41,No binario,2025-05-05,Kindle,Online,Tienda Online,Bizum,5
V000088,978-3-62923-222-9,El gen egoísta,Richard Dawkins,Ciencia,17.9,2,66,No binario,2025-11-07,Tapa dura,Física,Librería Gran Vía,Efectivo,1
V000089,978-3-62565-160-2,El día que se perdió la cordura,Javier Castillo,Thriller,20.79,2,48,Femenino,2024-11-30,Bolsillo,Online,Tienda Online,Tarjeta,5
V000090,978-6-54597-384-2,El temor de un hombre sabio,Patrick Rothfuss,Fantasía,24.9,1,53,Femenino,2023-08-07,Kindle,Online,Tienda Online,PayPal,3
V000091,978-3-30032-482-2,Los hombres que no amaban a las mujeres,Stieg Larsson,Thriller,19.69,1,37,Prefiere no decir,2024-10-24,Kindle,Online,Tienda Online,Tarjeta,5
V000092,978-4-93748-619-9,Perdida,Gillian Flynn,Thriller,13.2,1,54,Masculino,2025-06-14,Bolsillo,Online,Tienda Online,Efectivo,4
V000093,978-2-18981-709-1,Una breve historia del tiempo,Stephen Hawking,Ciencia,18.59,2,24,Prefiere no decir,2025-03-28,Tapa dura,Online,Tienda Online,PayPal,5
V000094,978-9-38864-107-1,James y el melocotón gigante,Roald Dahl,Infantil,10.9,1,5,Femenino,2024-06-13,Tapa dura,Física,Librería Sevilla Triana,Transferencia,4
V000095,978-8-11504-796-1,El código Da Vinci,Dan Brown,Thriller,16.9,1,70,No binario,2024-02-25,Bolsillo,Online,Tienda Online,Bizum,2
V000096,978-2-18981-709-1,Una breve historia del tiempo,Stephen Hawking,Ciencia,13.52,1,68,Masculino,2025-06-18,Kindle,Online,Tienda Online,PayPal,5
V000097,978-3-50857-508-5,Piense y hágase rico,Napoleon Hill,Finanzas,14.6,1,24,Femenino,2023-08-09,Kindle,Online,Tienda Online,PayPal,5
V000098,978-0-13905-195-3,Rebelión en la granja,George Orwell,Ficción,13.12,1,66,No binario,2023-10-30,Tapa dura,Online,Tienda Online,Bizum,4
V000099,978-6-94259-569-2,El juego del ángel,Carlos Ruiz Zafón,Ficción,16.65,1,46,No binario,2025-02-08,Tapa dura,Online,Tienda Online,Tarjeta,2
V000100,978-6-10282-499-4,Patria,Fernando Aramburu,Ficción,16.91,1,47,Masculino,2025-11-12,Tapa dura,Online,Tienda Online,Transferencia,5
V000101,978-6-34957-196-1,El resplandor,Stephen King,Terror,18.9,1,52,No binario,2024-11-13,Kindle,Online,Tienda Online,Tarjeta,5
V000102,978-7-19071-878-8,El poder del ahora,Eckhart Tolle,Autoayuda,14.9,3,57,Prefiere no decir,2025-05-18,Kindle,Online,Tienda Online,Tarjeta,4
V000103,978-0-51104-158-0,Manual de cocina fácil,Karlos Arguiñano,Cocina,17.9,1,20,Prefiere no decir,2023-10-06,Tapa dura,Online,Tienda Online,Bizum,4
V000104,978-3-39256-242-1,El amor en los tiempos del cólera,Gabriel García Márquez,Ficción,14.0,1,45,Prefiere no decir,2024-10-03,Tapa dura,Online,Tienda Online,Efectivo,
V000105,978-6-45093-167-3,Paula,Isabel Allende,Biografía,15.9,1,54,Prefiere no decir,2023-07-26,Kindle,Online,Tienda Online,Bizum,4
V000106,978-2-26828-775-7,Los cuatro acuerdos,Miguel Ruiz,Autoayuda,13.55,1,18,Femenino,2023-07-21,Bolsillo,Online,Tienda Online,Efectivo,5
V000107,978-0-40007-169-0,El Principito ilustrado,Antoine de Saint-Exupéry,Infantil,17.49,1,9,Prefiere no decir,2025-10-26,Bolsillo,Física,Librería Gran Vía,Transferencia,4
V000108,978-0-22224-871-3,Un mundo sin fin,Ken Follett,Histórica,22.9,1,40,Prefiere no decir,2023-11-23,Bolsillo,Online,Tienda Online,Tarjeta,5
V000109,978-5-74042-119-1,Sapiens,Yuval Noah Harari,Ensayo,21.9,2,64,Femenino,2025-12-28,Tapa dura,Física,Librería Valencia Centro,Efectivo,
V000110,978-0-40007-169-0,El Principito ilustrado,Antoine de Saint-Exupéry,Infantil,15.9,1,11,Prefiere no decir,2023-02-15,Bolsillo,Online,Tienda Online,PayPal,
V000111,978-8-44438-864-9,Rayuela,Julio Cortázar,Clásico,16.9,1,61,Masculino,2023-01-19,Tapa dura,Online,Tienda Online,Tarjeta,5
V000112,978-8-44973-887-5,Ángeles y demonios,Dan Brown,Thriller,13.52,2,55,Masculino,2024-03-24,Kindle,Online,Tienda Online,Bizum,5
V000113,978-6-86484-508-5,Ficciones,Jorge Luis Borges,Clásico,15.65,3,73,Prefiere no decir,2023-10-05,Tapa dura,Online,Tienda Online,Bizum,5
V000114,978-9-71953-348-7,It,Stephen King,Terror,18.32,2,38,Masculino,2024-07-05,Tapa dura,Física,Librería Gran Vía,Bizum,4
V000115,978-7-77839-562-1,El principito,Antoine de Saint-Exupéry,Infantil,9.9,1,5,No binario,2024-07-14,Bolsillo,Online,Tienda Online,Bizum,5
V000116,978-8-27342-840-9,Stardust,Neil Gaiman,Fantasía,15.9,2,30,Prefiere no decir,2023-02-08,Tapa dura,Física,Librería Valencia Centro,PayPal,4
V000117,978-3-97782-833-5,V de Vendetta,Alan Moore,Cómic,18.9,1,36,Masculino,2023-03-28,Tapa dura,Física,Librería Central Madrid,Transferencia,5
V000118,978-2-63269-597-7,La chica de nieve,Javier Castillo,Thriller,19.84,1,43,Prefiere no decir,2025-04-20,Tapa dura,Física,Librería Barcelona Gòtic,Efectivo,5
V000119,978-6-46434-564-5,En llamas,Suzanne Collins,Fantasía Juvenil,14.9,2,20,Prefiere no decir,2024-08-28,Tapa dura,Online,Tienda Online,Bizum,5
V000120,978-9-65461-316-8,"Padre rico, padre pobre",Robert Kiyosaki,Finanzas,17.75,1,32,Prefiere no decir,2024-05-24,Kindle,Online,Tienda Online,Transferencia,4
V000121,978-3-62565-160-2,El día que se perdió la cordura,Javier Castillo,Thriller,18.9,1,70,Prefiere no decir,2023-05-30,Tapa dura,Online,Tienda Online,Tarjeta,5
V000122,978-3-99733-432-0,Don Quijote de la Mancha,Miguel de Cervantes,Clásico,19.9,1,17,No binario,2024-08-15,Tapa dura,Online,Tienda Online,Efectivo,4
V000123,978-3-62565-160-2,El día que se perdió la cordura,Javier Castillo,Thriller,18.9,1,17,Prefiere no decir,2024-03-18,Bolsillo,Online,Tienda Online,Tarjeta,3
V000124,978-3-31417-573-6,Ana Karenina,León Tolstói,Clásico,18.59,1,18,Prefiere no decir,2025-01-16,Kindle,Online,Tienda Online,Bizum,5
V000125,978-8-27342-840-9,Stardust,Neil Gaiman,Fantasía,13.52,1,68,Prefiere no decir,2023-11-18,Kindle,Online,Tienda Online,PayPal,5
V000126,978-6-38893-559-9,Dune,Frank Herbert,Ciencia Ficción,24.04,1,56,No binario,2024-04-24,Bolsillo,Online,Tienda Online,Tarjeta,4
V000127,978-0-13905-195-3,Rebelión en la granja,George Orwell,Ficción,13.75,2,23,No binario,2023-05-19,Bolsillo,Física,Librería Gran Vía,Efectivo,4
V000128,978-9-93227-275-8,Los hermanos Karamázov,Fiódor Dostoyevski,Clásico,15.12,3,73,Prefiere no decir,2024-07-28,Tapa dura,Online,Tienda Online,Bizum,5
V000129,978-2-46509-573-3,La peste,Albert Camus,Clásico,13.41,2,21,Femenino,2023-07-17,Tapa dura,Física,Librería Central Madrid,PayPal,5
V000130,978-6-54597-384-2,El temor de un hombre sabio,Patrick Rothfuss,Fantasía,27.39,1,27,No binario,2024-07-19,Tapa dura,Online,Tienda Online,Efectivo,3
V000131,978-8-36062-833-8,Crónicas marcianas,Ray Bradbury,Ciencia Ficción,15.2,1,28,Masculino,2025-09-08,Tapa dura,Física,Librería Barcelona Gòtic,Tarjeta,3
V000132,978-8-31643-371-8,Hábitos atómicos,James Clear,Autoayuda,18.9,1,21,Femenino,2024-05-10,Bolsillo,Online,Tienda Online,Efectivo,5
V000133,978-7-17100-789-1,Carrie,Stephen King,Terror,14.9,2,53,Prefiere no decir,2025-04-29,Tapa dura,Física,Librería Valencia Centro,Efectivo,
V000134,978-9-71348-641-4,Veinte poemas de amor,Pablo Neruda,Poesía,7.92,4,44,No binario,2023-08-16,Bolsillo,Física,Librería Central Madrid,PayPal,5
V000135,978-3-97782-833-5,V de Vendetta,Alan Moore,Cómic,17.01,1,56,No binario,2024-08-21,Kindle,Online,Tienda Online,Tarjeta,
V000136,978-3-76237-716-0,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,11.81,2,33,Prefiere no decir,2024-09-07,Kindle,Online,Tienda Online,PayPal,4
V000137,978-8-21395-704-6,1984,George Orwell,Ciencia Ficción,15.65,1,21,No binario,2024-12-23,Kindle,Online,Tienda Online,Tarjeta,4
V000138,978-6-54597-384-2,El temor de un hombre sabio,Patrick Rothfuss,Fantasía,26.14,1,58,No binario,2025-01-07,Kindle,Online,Tienda Online,Bizum,4
V000139,978-8-33416-619-1,La chica del tren,Paula Hawkins,Thriller,14.31,1,36,Prefiere no decir,2025-09-16,Bolsillo,Física,Librería Central Madrid,Tarjeta,2
V000140,978-8-36062-833-8,Crónicas marcianas,Ray Bradbury,Ciencia Ficción,15.2,1,65,Femenino,2025-11-19,Tapa dura,Online,Tienda Online,Bizum,3
V000141,978-3-97782-833-5,V de Vendetta,Alan Moore,Cómic,18.9,1,57,Prefiere no decir,2023-12-19,Kindle,Online,Tienda Online,Efectivo,4
V000142,978-9-71348-641-4,Veinte poemas de amor,Pablo Neruda,Poesía,9.9,1,37,Femenino,2024-04-25,Bolsillo,Física,Librería Central Madrid,Tarjeta,5
V000143,978-6-46434-564-5,En llamas,Suzanne Collins,Fantasía Juvenil,15.65,1,12,Femenino,2024-10-28,Tapa dura,Online,Tienda Online,Bizum,5
V000144,978-8-11504-796-1,El código Da Vinci,Dan Brown,Thriller,16.9,3,57,Femenino,2025-11-04,Bolsillo,Física,Librería Central Madrid,Bizum,5
V000145,978-9-20745-529-9,Watchmen,Alan Moore,Cómic,23.0,2,29,Masculino,2023-08-19,Tapa dura,Física,Librería Gran Vía,Efectivo,5
V000146,978-8-21395-704-6,1984,George Orwell,Ciencia Ficción,13.41,1,59,Masculino,2025-05-11,Bolsillo,Online,Tienda Online,Tarjeta,3
V000147,978-5-19287-626-3,Coraline,Neil Gaiman,Fantasía Juvenil,12.51,1,10,Femenino,2023-11-21,Kindle,Online,Tienda Online,PayPal,3
V000148,978-4-99593-763-1,Crimen y castigo,Fiódor Dostoyevski,Clásico,14.19,1,47,Prefiere no decir,2023-02-10,Kindle,Online,Tienda Online,Efectivo,5
V000149,978-9-65461-316-8,"Padre rico, padre pobre",Robert Kiyosaki,Finanzas,15.21,1,61,Prefiere no decir,2025-05-16,Kindle,Online,Tienda Online,Tarjeta,2
V000150,978-4-93748-619-9,Perdida,Gillian Flynn,Thriller,14.03,2,62,Prefiere no decir,2023-07-02,Tapa dura,Online,Tienda Online,Bizum,5
V000151,978-9-51245-317-7,La sombra del viento,Carlos Ruiz Zafón,Ficción,16.65,3,64,Masculino,2025-05-30,Bolsillo,Online,Tienda Online,Transferencia,3
V000152,978-8-27342-840-9,Stardust,Neil Gaiman,Fantasía,12.72,1,66,Femenino,2024-10-03,Kindle,Online,Tienda Online,Bizum,4
V000153,978-5-50306-345-0,Homo Deus,Yuval Noah Harari,Ensayo,21.9,1,63,Masculino,2023-06-02,Bolsillo,Online,Tienda Online,PayPal,5
V000154,978-0-87110-667-3,Charlie y la fábrica de chocolate,Roald Dahl,Infantil,11.9,1,8,Prefiere no decir,2024-02-29,Bolsillo,Online,Tienda Online,Efectivo,5
V000155,978-4-93886-804-8,Guerra y paz,León Tolstói,Clásico,24.9,2,47,No binario,2023-10-15,Tapa dura,Física,Librería Sevilla Triana,Tarjeta,
V000156,978-5-50306-345-0,Homo Deus,Yuval Noah Harari,Ensayo,19.71,2,26,Femenino,2024-05-22,Kindle,Online,Tienda Online,Tarjeta,
V000157,978-6-56438-533-6,Misery,Stephen King,Terror,17.75,1,53,Masculino,2025-04-10,Bolsillo,Online,Tienda Online,Efectivo,3
V000158,978-2-46509-573-3,La peste,Albert Camus,Clásico,12.66,1,23,Prefiere no decir,2023-09-01,Bolsillo,Online,Tienda Online,Transferencia,4
V000159,978-6-38893-559-9,Dune,Frank Herbert,Ciencia Ficción,24.04,1,69,Prefiere no decir,2025-11-07,Kindle,Online,Tienda Online,Transferencia,5
V000160,978-7-80284-227-6,El Señor de los Anillos,J.R.R. Tolkien,Fantasía,32.89,2,50,No binario,2023-08-03,Kindle,Online,Tienda Online,PayPal,5
V000161,978-3-39451-165-5,Matilda,Roald Dahl,Infantil,9.52,2,5,No binario,2024-08-20,Bolsillo,Física,Librería Sevilla Triana,Efectivo,3
V000162,978-9-72493-614-8,El chef en casa,Jamie Oliver,Cocina,19.9,1,59,Femenino,2023-05-14,Tapa dura,Online,Tienda Online,Tarjeta,3
V000163,978-1-40512-987-1,Los juegos del hambre,Suzanne Collins,Fantasía Juvenil,14.9,1,22,No binario,2024-05-31,Tapa dura,Online,Tienda Online,PayPal,3
